
Fecha: 15-06-2018 15:15:55 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/paciente
Fecha: 15-06-2018 15:15:55 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/paciente
Fecha: 15-06-2018 15:16:01 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/paciente/create
Fecha: 15-06-2018 15:16:50 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/paciente
Fecha: 15-06-2018 15:16:50 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/paciente
Fecha: 15-06-2018 15:17:01 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/actividad
Fecha: 15-06-2018 15:17:12 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/paciente
Fecha: 15-06-2018 15:17:16 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura
Fecha: 15-06-2018 15:17:38 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura
Fecha: 15-06-2018 15:17:39 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura
Fecha: 15-06-2018 15:17:42 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura/2
Fecha: 15-06-2018 15:18:25 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/cargar
Fecha: 15-06-2018 15:18:26 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura/2
Fecha: 15-06-2018 15:18:32 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura/2
Fecha: 15-06-2018 15:18:47 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura
Fecha: 15-06-2018 15:18:48 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura/2
Fecha: 15-06-2018 15:18:53 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura/3
Fecha: 15-06-2018 15:19:13 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/cargar
Fecha: 15-06-2018 15:19:14 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura/3
Fecha: 15-06-2018 15:20:41 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/especialidad
Fecha: 15-06-2018 15:21:15 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/paciente
Fecha: 15-06-2018 15:21:20 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/contenido
Fecha: 15-06-2018 15:21:23 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/contenido/create
Fecha: 15-06-2018 15:21:41 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/contenido
Fecha: 15-06-2018 15:21:42 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/contenido
Fecha: 15-06-2018 15:21:50 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/contenido/1
Fecha: 15-06-2018 15:22:45 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/historial/2?patient=3
Fecha: 15-06-2018 15:23:09 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura
Fecha: 15-06-2018 15:23:17 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura
Fecha: 15-06-2018 15:23:18 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/estructura
Fecha: 15-06-2018 15:23:31 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/historial/4?patient=4
Fecha: 15-06-2018 15:23:38 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/repositorio
Fecha: 15-06-2018 15:23:44 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/repositorio
Fecha: 15-06-2018 15:24:48 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/repositorio
Fecha: 15-06-2018 15:24:48 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/repositorio
Fecha: 15-06-2018 15:24:52 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/repositorio/1
Fecha: 15-06-2018 15:25:05 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/cargar
Fecha: 15-06-2018 15:25:30 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/cargar
Fecha: 15-06-2018 15:25:30 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/repositorio/1
Fecha: 15-06-2018 16:11:27 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/tareas
Fecha: 15-06-2018 16:15:50 || ID: 3 || Nombre: luis yerko laura tola || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/tareas
Fecha: 15-06-2018 16:16:15 || ID: 2 || Nombre: Daniel Zeballos || IP: 192.168.43.248 || Url: http://192.168.43.248:8000/tareas
